Customer_ID,Total_Sales,Total_Orders,First_Order,Last_Order,Customer_Lifespan_Years,Avg_Order_Value,Purchase_Frequency,CLV
CUST0001,943.7708423935009,8,2022-02-14 00:00:00,2023-01-14 04:00:00,0.915068493150685,117.9713552991876,8.74251497005988,1031.3663397414005
CUST0002,617.5317254115159,6,2022-01-13 00:00:00,2023-01-28 14:00:00,1.0410958904109588,102.92195423525266,5.7631578947368425,593.1554730926404
CUST0003,548.8606916488864,5,2022-03-28 21:00:00,2023-01-15 05:00:00,0.8,109.77213832977728,6.25,686.075864561108
CUST0004,247.11787763708224,3,2022-02-25 11:00:00,2022-11-26 17:00:00,0.7506849315068493,82.37262587902741,3.9963503649635035,329.18987349465334
CUST0005,337.3411846868325,4,2022-01-25 05:00:00,2022-11-04 19:00:00,0.7753424657534247,84.33529617170812,5.159010600706713,435.0866869635825
CUST0006,523.0773190384444,4,2022-02-25 06:00:00,2022-11-14 07:00:00,0.7178082191780822,130.7693297596111,5.572519083969465,728.714585683329
CUST0007,559.9084372987143,5,2022-03-15 05:00:00,2022-12-12 01:00:00,0.7424657534246575,111.98168745974286,6.734317343173432,754.1202199779731
CUST0008,530.19327924288,5,2022-02-20 13:00:00,2022-12-07 04:00:00,0.7917808219178082,106.03865584857598,6.314878892733565,669.621269632011
CUST0009,231.0294450041772,3,2022-01-16 18:00:00,2022-12-23 14:00:00,0.9315068493150684,77.0098150013924,3.2205882352941178,248.01690419566083
CUST0010,557.3067709315343,5,2022-02-11 18:00:00,2022-08-27 17:00:00,0.536986301369863,111.46135418630686,9.311224489795919,1037.8416907653573
CUST0011,536.2846436745683,5,2022-03-05 23:00:00,2022-10-16 14:00:00,0.6136986301369863,107.25692873491366,8.147321428571429,873.8566738447207
CUST0012,965.1071979104096,9,2022-01-31 01:00:00,2022-12-24 14:00:00,0.8958904109589041,107.23413310115662,10.045871559633028,1077.260327942812
CUST0013,586.1226307187316,6,2022-02-27 14:00:00,2023-02-02 11:00:00,0.9287671232876712,97.6871051197886,6.460176991150443,631.075988826953
CUST0014,654.9987467448761,4,2022-01-03 20:00:00,2023-01-18 00:00:00,1.0383561643835617,163.74968668621904,3.8522427440633242,630.80354237963
CUST0015,346.1491258466327,5,2022-01-06 12:00:00,2023-01-05 14:00:00,0.9972602739726028,69.22982516932655,5.013736263736264,347.10008498357405
CUST0016,192.70532093807734,2,2022-03-27 03:00:00,2022-11-26 06:00:00,0.6684931506849315,96.35266046903867,2.9918032786885242,288.26820550163205
CUST0017,995.148186063514,7,2022-01-20 11:00:00,2022-11-20 17:00:00,0.8328767123287671,142.164026580502,8.404605263157894,1194.8325260302058
CUST0018,143.1831747224085,2,2022-01-21 17:00:00,2022-03-12 05:00:00,0.13424657534246576,71.59158736120425,14.89795918367347,1066.5685464016144
CUST0019,1103.990274827222,11,2022-04-30 20:00:00,2023-02-15 01:00:00,0.7945205479452054,100.36275225702019,13.844827586206897,1389.5050010756415
CUST0020,172.80062377308428,2,2022-01-23 11:00:00,2022-09-06 14:00:00,0.6191780821917808,86.40031188654214,3.230088495575221,279.0806534388308
CUST0021,1200.7781642166374,9,2022-01-03 13:00:00,2023-01-12 22:00:00,1.0246575342465754,133.41979602407082,8.783422459893048,1171.8824329921729
CUST0022,1134.7927192240497,8,2022-01-02 10:00:00,2022-12-20 12:00:00,0.9643835616438357,141.84908990300622,8.295454545454545,1176.7026776044834
CUST0023,678.8837871468821,5,2022-01-29 00:00:00,2022-08-03 00:00:00,0.5095890410958904,135.77675742937643,9.811827956989246,1332.218184454903
CUST0024,159.2750839040828,1,2022-04-20 07:00:00,2022-04-20 07:00:00,1.0,159.2750839040828,1.0,159.2750839040828
CUST0025,660.0171591136494,7,2022-02-22 18:00:00,2023-02-19 04:00:00,0.989041095890411,94.28816558766421,7.077562326869805,667.3303686329142
CUST0026,216.9402761604794,3,2022-07-03 19:00:00,2022-11-09 07:00:00,0.3506849315068493,72.31342538682647,8.5546875,618.618756238867
CUST0027,303.50580107282497,5,2022-01-19 16:00:00,2023-01-29 20:00:00,1.0273972602739727,60.70116021456499,4.866666666666666,295.41231304421626
CUST0028,567.2403493922667,5,2022-02-21 01:00:00,2023-01-01 21:00:00,0.8602739726027397,113.44806987845334,5.812101910828026,659.3717437203101
CUST0029,909.6050112373911,8,2022-02-05 19:00:00,2022-12-22 11:00:00,0.873972602739726,113.70062640467388,9.153605015673982,1040.7706241430965
CUST0030,659.0087627623409,3,2022-11-05 15:00:00,2022-11-28 12:00:00,0.06027397260273973,219.66958758744696,49.77272727272727,10933.554473102473
CUST0031,285.14212227003594,3,2022-07-29 16:00:00,2022-10-16 12:00:00,0.2136986301369863,95.04737409001199,14.038461538461538,1334.318905494399
CUST0032,352.2113187206054,5,2022-03-11 19:00:00,2023-02-01 19:00:00,0.8958904109589041,70.44226374412108,5.581039755351682,393.14107441290815
CUST0033,267.29808632448373,2,2022-08-09 04:00:00,2022-12-18 13:00:00,0.3589041095890411,133.64904316224187,5.572519083969465,744.7618435758516
CUST0034,528.4699956627542,4,2022-02-14 10:00:00,2022-11-23 07:00:00,0.7698630136986301,132.11749891568854,5.195729537366549,686.446791519236
CUST0035,548.954978403737,5,2022-01-04 11:00:00,2022-12-27 18:00:00,0.9780821917808219,109.79099568074739,5.112044817927171,561.2564905248291
CUST0036,664.4060934081809,5,2022-01-23 09:00:00,2022-12-02 00:00:00,0.8547945205479452,132.8812186816362,5.8493589743589745,777.2699490191861
CUST0037,519.7878459503437,3,2022-02-02 04:00:00,2022-04-07 06:00:00,0.17534246575342466,173.26261531678122,17.109375,2964.4150589355536
CUST0038,606.9536506490886,3,2022-01-19 09:00:00,2022-06-06 04:00:00,0.37534246575342467,202.31788354969618,7.992700729927007,1617.0662955249438
